  26, 1015,  267,  270,  
  27, 1015,  290,  270,  
  28, 1015,  290,  270,  
  29, 1015,  290,  270,  
  30, 1011,  290,  270,  
  31, 1011,  278,  270,  
  32, 1011,  278,  270,  
  33, 1011,  278,  270,  
  34, 1009,  278,  270,  
  35, 1009,  273,  270,  
  36, 1009,  273,  270,  
  37, 1009,  273,  270,  
  38, 1008,  273,  270,  
  39, 1008,  270,  270,  
  40, 1008,  270,  270,  

   1,    x,    x,  290,  
   2,  511,    x,  290,  
   3,  511,   56,  290,  
   4,  511,   56,  290,  
   5,  511,   56,  290,  
   6,  767,   56,  290,  
   7,  767,   97,  290,  
   8,  767,   97,  290,  
   9,  767,   97,  290,  
  10,  895,   97,  290,  
  11,  895,  151,  290,  
  12,  895,  151,  290,  
  13,  895,  151,  290,  
  14,  959,  151,  290,  
  15,  959,  192,  290,  
  16,  959,  192,  290,  
  17,  959,  192,  290,  
  18,  991,  192,  290,  
  19,  991,  233,  290,  
  20,  991,  233,  290,  
  21,  991,  233,  290,  
  22, 1007,  233,  290,  
  23, 1007,  267,  290,  
  24, 1007,  267,  290,  
  25, 1007,  267,  290,  
  26, 1015,  267,  290,  
  27, 1015,  290,  290,  
  28, 1015,  290,  290,  

